Type,Nation ID,Nation,Star Rating,Minimum Budget,# Clubs,,,,,,,,,Timezone
1,38,Portugal,4,8000000,0,0,0,0,2,6,1300000,3000000,3300000,0
1,21,Germany,4,8000000,0,0,0,0,3,6,1300000,3000000,3500000,1
1,47,Switzerland,3.5,3000000,0,0,0,0,2,6,800000,1400000,1800000,1
1,18,France,3.5,3000000,0,0,0,0,3,6,850000,1500000,1850000,1
1,27,Italy,3.5,5000000,0,0,0,0,3,6,1200000,1600000,2500000,1
1,45,Spain,3.5,4000000,0,0,0,0,3,6,1250000,1500000,2000000,1
1,7,Belgium,3.5,5000000,0,0,0,0,2,6,1200000,1600000,2200000,1
1,4,Austria,3,3000000,0,0,0,0,2,6,800000,1000000,1500000,1
1,13,Denmark,3,3000000,0,0,0,0,2,6,800000,1200000,1600000,1
1,36,Norway,3,3000000,0,0,0,0,2,6,800000,1300000,1700000,1
1,14,England,3,1000000,0,0,0,0,3,6,730000,920000,1350000,0
1,46,Sweden,3,1000000,0,0,0,0,2,6,700000,850000,1300000,1
1,48,Turkey,3,1000000,0,0,0,0,4,6,630000,820000,1250000,3
1,34,Netherlands,2.5,1000000,0,0,0,0,3,6,550000,800000,1200000,1
1,27,Italy,2.5,1000000,0,0,0,0,4,6,480000,680000,1040000,1
1,21,Germany,2.5,1000000,0,0,0,0,4,6,520000,730000,1100000,1
1,7,Belgium,2.5,1000000,0,0,0,0,3,6,540000,750000,1150000,1
1,45,Spain,2,0,0,0,0,0,4,6,380000,580000,700000,1
1,47,Switzerland,2,1000000,0,0,0,0,3,6,450000,650000,800000,1
1,4,Austria,2,0,0,0,0,0,3,6,430000,600000,720000,1
1,18,France,2,1000000,0,0,0,0,4,6,450000,650000,1000000,1
1,38,Portugal,1.5,0,0,0,0,0,3,6,300000,450000,550000,0
1,48,Turkey,1.5,0,0,0,0,0,3,6,330000,470000,580000,3
1,13,Denmark,1.5,0,0,0,0,0,3,6,350000,500000,600000,1
1,27,Italy,1.5,0,0,0,0,0,4,4,400000,550000,600000,1
1,21,Germany,1,0,0,0,0,0,3,6,300000,450000,500000,1
1,34,Netherlands,1,0,0,0,0,0,3,6,300000,400000,500000,1
1,46,Sweden,1,0,0,0,0,0,3,6,240000,360000,450000,1
1,4,Austria,1,0,0,0,0,0,3,6,280000,380000,490000,1
1,25,Republic of Ireland,0.5,0,0,0,0,0,4,4,230000,350000,400000,0
1,45,Spain,0.5,0,0,0,0,0,4,6,240000,340000,380000,1
1,14,England,0.5,0,0,0,0,0,6,10,230000,330000,370000,0
2,95,U.S. (MLS),2,0,0,0,0,0,6,2,300000,450000,550000,-6
2,95,U.S. (MLS),2,0,0,0,0,0,6,2,330000,470000,580000,-6
2,83,Mexico,2.5,2500000,0,0,0,0,4,4,500000,700000,1150000,-6
2,83,Mexico,2.5,2500000,0,0,0,0,4,4,500000,750000,1250000,-6
2,14,England,2,0,0,0,0,0,20,0,400000,600000,1000000,0
2,55,Chile,1.5,0,0,0,0,0,5,3,220000,350000,400000,-4
2,55,Chile,1.5,0,0,0,0,0,4,4,240000,360000,450000,-4
2,55,Chile,1.5,0,0,0,0,0,6,2,280000,380000,450000,-4
2,56,Colombia,1,0,0,0,0,0,5,3,220000,350000,400000,-5
2,56,Colombia,1,0,0,0,0,0,4,4,240000,360000,450000,-5
2,56,Colombia,1,0,0,0,0,0,6,2,280000,380000,450000,-5
2,52,Argentina,1.5,0,0,0,0,0,5,3,230000,350000,400000,-3
2,52,Argentina,1.5,0,0,0,0,0,4,4,240000,340000,380000,-3
2,52,Argentina,1.5,0,0,0,0,0,6,2,230000,330000,370000,-3
2,54,Brazil,2,0,0,0,0,0,5,3,230000,350000,400000,-3
2,54,Brazil,2,0,0,0,0,0,4,4,240000,340000,380000,-3
2,54,Brazil,2,0,0,0,0,0,5,3,230000,330000,370000,-3
2,163,Japan,2,0,0,0,0,0,3,5,500000,700000,1150000,9
2,163,Japan,2,0,0,0,0,0,3,5,450000,650000,1100000,9
2,183,Saudi Arabia,1,0,0,0,0,0,3,5,500000,700000,1150000,3
2,183,Saudi Arabia,1,0,0,0,0,0,3,5,450000,650000,1100000,3
2,195,Australia,1,0,0,0,0,0,3,5,300000,450000,550000,10
2,195,Australia,1,0,0,0,0,0,3,5,330000,470000,580000,10
2,167,Korea,1,0,0,0,0,0,3,5,350000,550000,700000,9
2,167,Korea,1,0,0,0,0,0,3,5,400000,600000,750000,9
2,155,China,1,0,0,0,0,0,3,5,500000,750000,1250000,8
2,155,China,1,0,0,0,0,0,3,5,500000,700000,1100000,8
2,*,Any,0.5,0,0,0,0,0,3,6,180000,320000,350000,0
2,*,Any,0.5,0,0,0,0,0,3,6,190000,320000,360000,0
2,*,Any,0.5,0,0,0,0,0,3,6,190000,310000,330000,0
